location,time,pm10,pm2_5,carbon_monoxide
Yeshwanthpur,2026-08-24T02:00,4.7,3.2,136.5
Yeshwanthpur,2026-08-24T03:00,6.4,3.7,147.0
Yeshwanthpur,2026-08-24T04:00,7.5,4.1,146.0
Yeshwanthpur,2026-08-24T05:00,9.7,4.9,141.0
Yeshwanthpur,2026-08-24T06:00,10.5,5.4,136.0
Yeshwanthpur,2026-08-24T07:00,10.7,5.3,131.0
Yeshwanthpur,2026-08-24T08:00,11.0,5.3,127.0
Yeshwanthpur,2026-08-24T09:00,16.8,7.3,131.0
Yeshwanthpur,2026-08-24T10:00,11.9,6.2,152.0
Yeshwanthpur,2026-08-24T11:00,11.2,6.7,181.0
Yeshwanthpur,2026-08-24T12:00,10.9,7.2,203.0
Yeshwanthpur,2026-08-24T13:00,,,
Yeshwanthpur,2026-08-24T14:00,,,
Yeshwanthpur,2026-08-24T15:00,,,
Yeshwanthpur,2026-08-24T16:00,,,
Yeshwanthpur,2026-08-24T17:00,,,
Yeshwanthpur,2026-08-24T18:00,,,
Yeshwanthpur,2026-08-24T19:00,,,
Yeshwanthpur,2026-08-24T20:00,,,
Yeshwanthpur,2026-08-24T21:00,,,
Yeshwanthpur,2026-08-24T22:00,,,
Yeshwanthpur,2026-08-24T23:00,,,
Koramangala,2026-08-20T00:00,8.0,4.8,161.0
Koramangala,2026-08-20T01:00,8.1,5.0,207.0
Koramangala,2026-08-20T02:00,8.8,5.4,269.0
Koramangala,2026-08-20T03:00,10.0,6.0,302.0
Koramangala,2026-08-20T04:00,13.7,7.0,280.0
Koramangala,2026-08-20T05:00,15.0,7.4,229.0
Koramangala,2026-08-20T06:00,15.7,7.5,193.0
Koramangala,2026-08-20T07:00,16.8,7.6,185.0
Koramangala,2026-08-20T08:00,17.2,7.6,190.0
Koramangala,2026-08-20T09:00,16.4,7.5,208.0
Koramangala,2026-08-20T10:00,16.9,7.7,248.0
Koramangala,2026-08-20T11:00,19.2,9.1,300.0
Koramangala,2026-08-20T12:00,15.3,9.4,335.0
Koramangala,2026-08-20T13:00,13.5,9.5,340.0
Koramangala,2026-08-20T14:00,13.0,9.7,328.0
Koramangala,2026-08-20T15:00,12.4,9.2,312.0
Koramangala,2026-08-20T16:00,11.1,8.4,298.0
Koramangala,2026-08-20T17:00,10.0,7.7,280.0
Koramangala,2026-08-20T18:00,9.0,7.0,256.0
Koramangala,2026-08-20T19:00,7.7,6.0,218.0
Koramangala,2026-08-20T20:00,6.8,5.3,174.0
Koramangala,2026-08-20T21:00,6.0,4.7,142.0
Koramangala,2026-08-20T22:00,5.5,4.3,127.0
Koramangala,2026-08-20T23:00,5.0,4.0,124.0
Koramangala,2026-08-21T00:00,4.5,3.6,136.0
Koramangala,2026-08-21T01:00,4.4,3.4,178.0
Koramangala,2026-08-21T02:00,5.9,4.0,236.0
Koramangala,2026-08-21T03:00,7.5,5.2,269.0
Koramangala,2026-08-21T04:00,9.0,5.9,251.0
Koramangala,2026-08-21T05:00,9.9,6.2,208.0
Koramangala,2026-08-21T06:00,10.9,6.5,177.0
Koramangala,2026-08-21T07:00,13.1,7.1,171.0
Koramangala,2026-08-21T08:00,15.4,7.6,178.0
Koramangala,2026-08-21T09:00,17.1,8.1,194.0
Koramangala,2026-08-21T10:00,17.2,8.2,226.0
Koramangala,2026-08-21T11:00,15.9,8.1,267.0
Koramangala,2026-08-21T12:00,14.0,7.9,296.0
Koramangala,2026-08-21T13:00,12.8,8.7,304.0
Koramangala,2026-08-21T14:00,12.7,9.3,299.0
Koramangala,2026-08-21T15:00,11.6,8.9,288.0
Koramangala,2026-08-21T16:00,10.7,8.3,272.0
Koramangala,2026-08-21T17:00,10.2,8.0,250.0
Koramangala,2026-08-21T18:00,8.6,6.8,225.0
Koramangala,2026-08-21T19:00,7.1,5.7,194.0
Koramangala,2026-08-21T20:00,5.7,4.7,160.0
Koramangala,2026-08-21T21:00,4.5,3.8,136.0
Koramangala,2026-08-21T22:00,3.9,3.3,125.0
Koramangala,2026-08-21T23:00,3.9,3.1,124.0
Koramangala,2026-08-22T00:00,4.2,3.3,135.0
Koramangala,2026-08-22T01:00,4.8,3.8,170.0
Koramangala,2026-08-22T02:00,5.1,4.2,217.0
Koramangala,2026-08-22T03:00,4.5,3.8,244.0
Koramangala,2026-08-22T04:00,4.5,3.6,231.0
Koramangala,2026-08-22T05:00,5.5,4.1,199.0
Koramangala,2026-08-22T06:00,7.4,4.9,176.0
Koramangala,2026-08-22T07:00,7.8,5.0,171.0
Koramangala,2026-08-22T08:00,8.4,5.2,175.0
Koramangala,2026-08-22T09:00,8.9,5.5,188.0
Koramangala,2026-08-22T10:00,9.9,5.9,216.0
Koramangala,2026-08-22T11:00,11.1,6.4,252.0
Koramangala,2026-08-22T12:00,12.1,8.6,283.0
Koramangala,2026-08-22T13:00,12.1,9.2,305.0
Koramangala,2026-08-22T14:00,12.0,9.5,321.0
Koramangala,2026-08-22T15:00,10.8,8.9,324.0
Koramangala,2026-08-22T16:00,8.8,7.4,307.0
Koramangala,2026-08-22T17:00,7.4,6.3,276.0
Koramangala,2026-08-22T18:00,6.4,5.4,242.0
Koramangala,2026-08-22T19:00,5.4,4.5,205.0
Koramangala,2026-08-22T20:00,4.7,3.9,166.0
Koramangala,2026-08-22T21:00,4.3,3.5,138.0
Koramangala,2026-08-22T22:00,3.8,3.1,126.0
Koramangala,2026-08-22T23:00,3.4,2.8,125.0
Koramangala,2026-08-23T00:00,3.4,2.7,131.0
Koramangala,2026-08-23T01:00,3.5,3.0,150.0
Koramangala,2026-08-23T02:00,4.0,3.3,175.0
Koramangala,2026-08-23T03:00,5.2,3.6,190.0
Koramangala,2026-08-23T04:00,6.8,4.3,182.0
Koramangala,2026-08-23T05:00,8.1,5.0,162.0
Koramangala,2026-08-23T06:00,9.6,5.5,147.0
Koramangala,2026-08-23T07:00,9.4,5.2,138.0
Koramangala,2026-08-23T08:00,9.2,5.0,133.0
Koramangala,2026-08-23T09:00,8.8,4.9,147.0
Koramangala,2026-08-23T10:00,9.5,5.0,196.0
Koramangala,2026-08-23T11:00,11.4,5.7,263.0
Koramangala,2026-08-23T12:00,12.0,7.9,309.0
Koramangala,2026-08-23T13:00,11.3,7.9,316.0
Koramangala,2026-08-23T14:00,11.4,8.9,302.0
Koramangala,2026-08-23T15:00,11.5,9.2,279.0
Koramangala,2026-08-23T16:00,9.7,8.0,247.0
Koramangala,2026-08-23T17:00,8.2,6.9,205.0
Koramangala,2026-08-23T18:00,6.7,5.6,170.0
Koramangala,2026-08-23T19:00,5.2,4.4,145.0
Koramangala,2026-08-23T20:00,4.4,3.5,125.0
Koramangala,2026-08-23T21:00,3.6,2.9,113.0
Koramangala,2026-08-23T22:00,3.3,2.6,112.0
Koramangala,2026-08-23T23:00,3.3,2.5,119.0
Koramangala,2026-08-24T00:00,3.5,2.6,123.5
Koramangala,2026-08-24T01:00,4.1,3.2,133.0
Koramangala,2026-08-24T02:00,5.2,4.1,155.3
Koramangala,2026-08-24T03:00,5.6,3.9,181.0
Koramangala,2026-08-24T04:00,6.6,4.2,177.0
Koramangala,2026-08-24T05:00,9.2,5.3,165.0
Koramangala,2026-08-24T06:00,8.8,5.1,154.0
Koramangala,2026-08-24T07:00,9.9,5.4,147.0
Koramangala,2026-08-24T08:00,10.9,5.6,142.0
Koramangala,2026-08-24T09:00,12.2,6.0,147.0
Koramangala,2026-08-24T10:00,10.7,7.0,173.0
Koramangala,2026-08-24T11:00,9.6,6.5,209.0
Koramangala,2026-08-24T12:00,8.5,6.3,235.0
Koramangala,2026-08-24T13:00,,,
Koramangala,2026-08-24T14:00,,,
Koramangala,2026-08-24T15:00,,,
Koramangala,2026-08-24T16:00,,,
Koramangala,2026-08-24T17:00,,,
Koramangala,2026-08-24T18:00,,,
Koramangala,2026-08-24T19:00,,,
Koramangala,2026-08-24T20:00,,,
Koramangala,2026-08-24T21:00,,,
Koramangala,2026-08-24T22:00,,,
Koramangala,2026-08-24T23:00,,,
